Meal,Main Recipe,Side 1,Side 2,Output Filename,Layout,Reference Status,Approval Status,Visual Audit,Dimensions,WebP Quality
076,MX-012 — Tamale Pie,SD-036 — Roasted Zucchini,MX-016 — Pinto Beans,meal-076.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
077,MX-021 — Enchilada Casserole,MX-017 — Corn Maque Choux,MX-015 — Black Beans,meal-077.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
078,MX-022 — Taco Casserole,MX-017 — Corn Maque Choux,MX-016 — Pinto Beans,meal-078.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
079,MX-023 — Mexican Lasagna,SD-036 — Roasted Zucchini,MX-015 — Black Beans,meal-079.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
080,MX-024 — Tamale Casserole,SD-019 — Refried Beans,MX-017 — Corn Maque Choux,meal-080.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
081,MX-025 — Beef Fajita Rice Bowls,MX-017 — Corn Maque Choux,,meal-081.webp,One-side,Clear,APPROVED,PASS,1448x1086,88
082,MX-026 — Beef Taco Rice Bowls,MX-015 — Black Beans,,meal-082.webp,One-side,Clear,APPROVED,PASS,1448x1086,88
083,MX-027 — Carnitas Rice Bowls,MX-016 — Pinto Beans,,meal-083.webp,One-side,Clear,APPROVED,PASS,1448x1086,88
084,MX-028 — Chicken Burrito Bowls,MX-017 — Corn Maque Choux,,meal-084.webp,One-side,Clear,APPROVED,PASS,1448x1086,88
085,MX-029 — Chicken Enchilada Verde Bowls,MX-015 — Black Beans,,meal-085.webp,One-side,Clear,APPROVED,PASS,1448x1086,88
086,MX-030 — Chicken Fajita Rice Bowls,MX-017 — Corn Maque Choux,,meal-086.webp,One-side,Clear,APPROVED,PASS,1448x1086,88
087,MX-034 — Chicken Tortilla Soup,MX-015 — Black Beans,,meal-087.webp,One-side,Clear,APPROVED,PASS,1448x1086,88
088,MX-035 — Chile Colorado,SD-048 — White Rice,MX-016 — Pinto Beans,meal-088.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
089,MX-036 — Chile Verde Pork,SD-049 — Cilantro Lime Rice,MX-015 — Black Beans,meal-089.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
090,MX-040 — King Ranch Chicken,MX-017 — Corn Maque Choux,SD-036 — Roasted Zucchini,meal-090.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
091,AS-001 — Beef & Broccoli,SD-052 — Jasmine Rice,SD-009 — Oriental Stir-Fry,meal-091.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
092,AS-002 — Beijing Beef,SD-052 — Jasmine Rice,SD-005 — Broccoli,meal-092.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
093,AS-003 — Mongolian Beef,SD-052 — Jasmine Rice,SD-009 — Oriental Stir-Fry,meal-093.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
094,AS-004 — Pepper Steak,SD-048 — White Rice,SD-005 — Broccoli,meal-094.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
095,AS-005 — Black Pepper Beef,SD-052 — Jasmine Rice,SD-009 — Oriental Stir-Fry,meal-095.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
096,AS-006 — Korean Beef,SD-052 — Jasmine Rice,SD-005 — Broccoli,meal-096.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
097,AS-007 — Teriyaki Chicken,SD-052 — Jasmine Rice,SD-009 — Oriental Stir-Fry,meal-097.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
098,AS-008 — Sweet & Sour Chicken,SD-048 — White Rice,SD-005 — Broccoli,meal-098.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
099,AS-009 — Sesame Chicken,SD-052 — Jasmine Rice,SD-009 — Oriental Stir-Fry,meal-099.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
100,AS-010 — Orange Chicken,SD-052 — Jasmine Rice,SD-005 — Broccoli,meal-100.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
101,AS-011 — Kung Pao Chicken,SD-048 — White Rice,SD-009 — Oriental Stir-Fry,meal-101.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
102,AS-012 — Honey Garlic Chicken,SD-052 — Jasmine Rice,SD-005 — Broccoli,meal-102.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
103,AS-013 — General Tso’s Chicken,SD-052 — Jasmine Rice,SD-009 — Oriental Stir-Fry,meal-103.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
104,AS-014 — Cashew Chicken,SD-048 — White Rice,SD-005 — Broccoli,meal-104.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
105,AS-015 — Hunan Chicken,SD-052 — Jasmine Rice,SD-009 — Oriental Stir-Fry,meal-105.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
106,AS-016 — Szechuan Chicken,SD-048 — White Rice,SD-005 — Broccoli,meal-106.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
107,AS-017 — Black Pepper Chicken,SD-052 — Jasmine Rice,SD-009 — Oriental Stir-Fry,meal-107.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
108,AS-018 — Fried Rice,SD-005 — Broccoli,,meal-108.webp,One-side,Clear,APPROVED,PASS,1448x1086,88
109,AS-019 — Lo Mein,SD-009 — Oriental Stir-Fry,,meal-109.webp,One-side,Clear,APPROVED,PASS,1448x1086,88
110,AS-020 — Chow Mein,SD-005 — Broccoli,,meal-110.webp,One-side,Clear,APPROVED,PASS,1448x1086,88
111,AS-021 — Singapore Noodles,SD-009 — Oriental Stir-Fry,,meal-111.webp,One-side,Clear,APPROVED,PASS,1448x1086,88
116,SF-004 — Salmon Patties,SD-028 — Baked Sweet Potato,SD-005 — Broccoli,meal-116.webp,Three-item,Clear,APPROVED,PASS,1448x1086,88
